cores,run,lcores_list,throughput_gbps,ac_matches,duration_sec,l1d_miss_pct,l2_miss_pct,l3_miss_pct
1,1,"0",2.37,24892829,17.3410,11.21,2.72,14.67
1,2,"0",2.37,24892829,17.3239,11.17,2.59,14.58
1,3,"0",2.33,24892829,17.6223,11.33,2.83,14.65
1,4,"0",2.46,24892829,16.7332,11.15,2.82,14.39
1,5,"0",2.46,24892829,16.7417,11.21,2.87,14.36
2,1,"0,1",2.77,24892829,14.8418,9.80,4.19,13.64
2,2,"0,1",2.76,24892829,14.8970,9.83,3.88,13.87
2,3,"0,1",2.78,24892829,14.7737,9.82,4.19,13.75
2,4,"0,1",2.76,24892829,14.8947,9.86,3.76,13.87
2,5,"0,1",2.78,24892829,14.7998,9.82,3.91,13.63
3,1,"0,1,2",5.45,24892829,7.5419,10.61,3.89,13.75
3,2,"0,1,2",5.47,24892829,7.5207,10.60,4.22,13.68
3,3,"0,1,2",5.47,24892829,7.5145,10.57,3.83,13.77
3,4,"0,1,2",5.48,24892829,7.4956,10.63,4.04,13.82
3,5,"0,1,2",5.52,24892829,7.4503,10.60,4.08,13.75
4,1,"0,1,2,3",7.89,24892829,5.2127,10.87,3.96,13.74
4,2,"0,1,2,3",7.86,24892829,5.2321,10.84,4.08,13.82
4,3,"0,1,2,3",7.86,24892829,5.2279,10.87,4.21,13.67
4,4,"0,1,2,3",7.86,24892829,5.2264,10.85,4.24,13.74
4,5,"0,1,2,3",7.85,24892829,5.2345,10.86,4.01,13.66
5,1,"0,1,2,3,4",9.98,24892829,4.1169,11.18,4.02,13.85
5,2,"0,1,2,3,4",9.98,24892829,4.1206,11.05,3.92,13.97
5,3,"0,1,2,3,4",9.97,24892829,4.1243,11.06,4.15,13.91
5,4,"0,1,2,3,4",9.94,24892829,4.1338,11.03,4.13,14.06
5,5,"0,1,2,3,4",9.99,24892829,4.1153,11.05,3.90,13.60
6,1,"0,1,2,3,4,5",11.71,24892829,3.5115,10.96,3.92,13.81
6,2,"0,1,2,3,4,5",11.69,24892829,3.5167,11.03,3.83,13.75
6,3,"0,1,2,3,4,5",11.68,24892829,3.5192,10.96,4.09,13.58
6,4,"0,1,2,3,4,5",11.69,24892829,3.5166,10.98,4.10,13.93
6,5,"0,1,2,3,4,5",11.59,24892829,3.5455,11.05,4.07,13.91
7,1,"0,1,2,3,4,5,6",11.86,24892829,3.4667,11.01,3.69,13.71
7,2,"0,1,2,3,4,5,6",11.93,24892829,3.4467,11.10,3.70,14.15
7,3,"0,1,2,3,4,5,6",11.98,24892829,3.4301,10.99,3.70,13.59
7,4,"0,1,2,3,4,5,6",11.83,24892829,3.4752,11.05,3.71,13.50
7,5,"0,1,2,3,4,5,6",11.88,24892829,3.4597,11.02,3.85,13.84
8,1,"0,1,2,3,4,5,6,7",9.79,24892829,4.1985,10.61,3.44,13.19
8,2,"0,1,2,3,4,5,6,7",9.74,24892829,4.2212,10.69,3.27,13.43
8,3,"0,1,2,3,4,5,6,7",9.72,24892829,4.2292,10.70,3.30,13.36
8,4,"0,1,2,3,4,5,6,7",9.52,24892829,4.3175,10.70,3.20,13.73
8,5,"0,1,2,3,4,5,6,7",9.30,24892829,4.4187,10.61,3.36,13.83
9,1,"0,1,2,3,4,5,6,7,8",9.73,24892829,4.2262,11.88,3.53,11.21
9,2,"0,1,2,3,4,5,6,7,8",9.80,24892829,4.1926,10.27,3.64,13.00
9,3,"0,1,2,3,4,5,6,7,8",9.76,24892829,4.2107,10.31,3.52,13.07
9,4,"0,1,2,3,4,5,6,7,8",9.78,24892829,4.2017,10.25,3.44,13.01
9,5,"0,1,2,3,4,5,6,7,8",9.68,24892829,4.2451,10.33,3.41,13.14
10,1,"0,1,2,3,4,5,6,7,8,9",9.78,24892829,4.2035,9.87,3.48,13.03
10,2,"0,1,2,3,4,5,6,7,8,9",9.80,24892829,4.1953,10.06,3.64,13.02
10,3,"0,1,2,3,4,5,6,7,8,9",9.35,24892829,4.3965,9.81,3.15,13.42
10,4,"0,1,2,3,4,5,6,7,8,9",9.86,24892829,4.1680,9.87,3.65,13.03
10,5,"0,1,2,3,4,5,6,7,8,9",9.85,24892829,4.1711,9.91,3.65,13.05
11,1,"0,1,2,3,4,5,6,7,8,9,10",9.62,24892829,4.2730,9.61,3.68,13.09
11,2,"0,1,2,3,4,5,6,7,8,9,10",9.80,24892829,4.1947,9.63,3.73,12.83
11,3,"0,1,2,3,4,5,6,7,8,9,10",9.69,24892829,4.2413,9.51,3.60,12.72
11,4,"0,1,2,3,4,5,6,7,8,9,10",9.80,24892829,4.1962,9.59,3.74,12.95
11,5,"0,1,2,3,4,5,6,7,8,9,10",9.28,24892829,4.4270,9.55,3.26,13.39
12,1,"0,1,2,3,4,5,6,7,8,9,10,11",9.17,24892829,4.4829,10.16,3.24,12.22
12,2,"0,1,2,3,4,5,6,7,8,9,10,11",9.64,24892829,4.2644,9.37,3.31,13.00
12,3,"0,1,2,3,4,5,6,7,8,9,10,11",8.71,24892829,4.7173,8.99,3.31,13.24
12,4,"0,1,2,3,4,5,6,7,8,9,10,11",9.51,24892829,4.3212,9.29,3.68,12.78
12,5,"0,1,2,3,4,5,6,7,8,9,10,11",9.45,24892829,4.3481,9.29,3.32,12.91
