threads_per_block,batch_size,throughput_gbps,pcap_loops,matches_per_loop,total_matches
2,256,7.77,2,24892829,49785658
2,512,13.61,2,24892829,49785658
2,1024,20.91,3,24892829,74678487
2,2048,30.34,5,24892829,124464145
2,4096,40.14,6,24892829,149356974
2,8192,45.50,7,24892829,174249803
2,16384,51.10,8,24892829,199142632
2,32768,54.52,8,24892829,199142632
2,65536,56.37,9,24892829,224035461
4,256,6.15,1,24892829,24892829
4,512,11.72,2,24892829,49785658
4,1024,18.69,3,24892829,74678487
4,2048,29.44,5,24892829,124464145
4,4096,44.90,7,24892829,174249803
4,8192,59.09,9,24892829,224035461
4,16384,71.12,11,24892829,273821119
4,32768,73.40,11,24892829,273821119
4,65536,82.63,12,24892829,298713948
8,256,4.97,1,24892829,24892829
8,512,8.81,2,24892829,49785658
8,1024,15.56,3,24892829,74678487
8,2048,26.34,4,24892829,99571316
8,4096,45.24,7,24892829,174249803
8,8192,68.29,10,24892829,248928290
8,16384,88.84,13,24892829,323606777
8,32768,102.32,15,24892829,373392435
8,65536,109.19,16,24892829,398285264
16,256,4.22,1,24892829,24892829
16,512,7.46,2,24892829,49785658
16,1024,13.11,2,24892829,49785658
16,2048,23.61,4,24892829,99571316
16,4096,36.99,6,24892829,149356974
16,8192,69.09,10,24892829,248928290
16,16384,94.61,14,24892829,348499606
16,32768,130.33,19,24892829,472963751
16,65536,147.50,22,24892829,547642238
32,256,3.81,1,24892829,24892829
32,512,6.83,1,24892829,24892829
32,1024,11.88,2,24892829,49785658
32,2048,20.60,3,24892829,74678487
32,4096,35.56,6,24892829,149356974
32,8192,62.04,9,24892829,224035461
32,16384,106.79,16,24892829,398285264
32,32768,139.78,21,24892829,522749409
32,65536,189.96,28,24892829,696999212
64,256,3.87,1,24892829,24892829
64,512,6.43,1,24892829,24892829
64,1024,11.22,2,24892829,49785658
64,2048,19.04,3,24892829,74678487
64,4096,35.65,6,24892829,149356974
64,8192,64.96,10,24892829,248928290
64,16384,120.92,18,24892829,448070922
64,32768,174.99,26,24892829,647213554
64,65536,144.86,21,24892829,522749409
128,256,3.59,1,24892829,24892829
128,512,6.78,1,24892829,24892829
128,1024,11.76,2,24892829,49785658
128,2048,19.81,3,24892829,74678487
128,4096,35.41,6,24892829,149356974
128,8192,61.76,9,24892829,224035461
128,16384,110.89,16,24892829,398285264
128,32768,166.84,24,24892829,597427896
128,65536,80.51,12,24892829,298713948
256,256,3.83,1,24892829,24892829
256,512,6.89,2,24892829,49785658
256,1024,11.56,2,24892829,49785658
256,2048,19.70,3,24892829,74678487
256,4096,34.84,5,24892829,124464145
256,8192,60.01,9,24892829,224035461
256,16384,119.00,18,24892829,448070922
256,32768,164.51,24,24892829,597427896
256,65536,96.10,14,24892829,348499606
512,256,3.85,1,24892829,24892829
512,512,6.77,1,24892829,24892829
512,1024,11.81,2,24892829,49785658
512,2048,20.00,3,24892829,74678487
512,4096,34.61,5,24892829,124464145
512,8192,64.60,10,24892829,248928290
512,16384,105.57,16,24892829,398285264
512,32768,132.47,19,24892829,472963751
512,65536,101.90,15,24892829,373392435
1024,256,3.80,1,24892829,24892829
1024,512,6.50,1,24892829,24892829
1024,1024,10.20,2,24892829,49785658
1024,2048,17.53,3,24892829,74678487
1024,4096,29.24,5,24892829,124464145
1024,8192,50.94,8,24892829,199142632
1024,16384,99.62,15,24892829,373392435
1024,32768,145.54,21,24892829,522749409
1024,65536,169.06,25,24892829,622320725
