Run_X,NB_Streams,PAges_Througput,Pinned_Thourgput
run_1,1,116.57,206.68
run_1,2,117.47,206.64
run_1,4,117.55,206.52
run_1,8,117.41,206.51
run_1,16,117.42,206.41
run_2,1,116.92,206.65
run_2,2,116.90,206.55
run_2,4,117.06,206.59
run_2,8,117.73,206.52
run_2,16,117.02,206.40
run_3,1,117.92,206.61
run_3,2,117.97,206.57
run_3,4,117.56,206.54
run_3,8,117.64,206.55
run_3,16,118.15,206.37
run_4,1,116.38,206.59
run_4,2,116.71,206.63
run_4,4,117.19,206.54
run_4,8,115.30,206.21
run_4,16,116.77,206.43
run_5,1,116.72,206.64
run_5,2,116.88,206.60
run_5,4,117.11,206.54
run_5,8,116.85,206.60
run_5,16,116.81,206.41
