Run_X,NB_Streams,PAges_Througput,Pinned_Thourgput
run_1,1,27.67,60.20
run_1,2,27.08,65.09
run_1,4,27.12,66.14
run_1,8,27.54,66.03
run_1,16,27.54,65.72
run_2,1,27.29,61.74
run_2,2,27.49,66.17
run_2,4,27.43,65.71
run_2,8,26.45,65.37
run_2,16,27.13,65.81
run_3,1,27.57,61.89
run_3,2,27.94,65.71
run_3,4,27.78,65.99
run_3,8,28.17,66.08
run_3,16,27.86,65.68
run_4,1,28.02,61.83
run_4,2,28.04,66.23
run_4,4,28.00,65.82
run_4,8,27.10,65.75
run_4,16,27.53,65.04
run_5,1,28.15,62.80
run_5,2,27.19,64.58
run_5,4,27.46,64.41
run_5,8,27.36,65.70
run_5,16,27.27,65.68
