Mode,Run,Nbr_Pattern,Througput,NB_Matches,Memory_MB
CPU,1,100,12.20,0,0.98
CPU,2,100,12.38,0,0.98
CPU,3,100,12.31,0,0.98
CPU,4,100,12.38,0,0.98
CPU,5,100,12.03,0,0.98
CPU,1,200,11.82,12796,0.99
CPU,2,200,11.82,12948,0.99
CPU,3,200,11.02,13070,0.99
CPU,4,200,11.05,13070,0.99
CPU,5,200,12.31,12577,0.99
CPU,1,400,11.89,178702,1.97
CPU,2,400,11.63,181867,1.97
CPU,3,400,11.86,178460,1.97
CPU,4,400,11.47,181663,1.97
CPU,5,400,11.16,182685,1.97
CPU,1,800,11.96,2586738,3.94
CPU,2,800,12.31,2579361,3.94
CPU,3,800,12.16,2582016,3.94
CPU,4,800,11.34,2606448,3.94
CPU,5,800,12.03,2589586,3.94
CPU,1,1600,11.79,6499711,7.88
CPU,2,1600,11.50,6531974,7.88
CPU,3,1600,10.99,6628289,7.88
CPU,4,1600,11.89,6518298,7.88
CPU,5,1600,12.16,6472712,7.88
CPU,1,3200,11.66,11139398,15.76
CPU,2,3200,11.99,11067902,15.76
CPU,3,3200,11.44,11191310,15.76
CPU,4,3200,10.93,11195101,15.76
CPU,5,3200,11.66,11116457,15.76
CPU,1,6400,11.59,17525538,31.52
CPU,2,6400,11.41,17615522,31.52
CPU,3,6400,11.99,17427605,31.52
CPU,4,6400,11.99,17433731,31.52
CPU,5,6400,11.96,17445288,31.52
CPU,1,12800,11.89,19534411,126.04
CPU,2,12800,11.99,19572034,126.04
CPU,3,12800,11.25,19756411,126.04
CPU,4,12800,11.63,19625492,126.04
CPU,5,12800,10.57,19912913,126.04
CPU,1,21145,10.41,21919855,252.08
CPU,2,21145,11.47,21649524,252.08
CPU,3,21145,10.74,21796435,252.08
CPU,4,21145,10.52,22151050,252.08
CPU,5,21145,11.13,21738280,252.08
