cores,run,lcores_list,throughput_gbps,ac_matches,duration_sec,l1d_miss_pct,l2_miss_pct,l3_miss_pct,dram_bw_gbps
1,1,"0",2.40,24892829,17.1188,11.17,2.87,14.59,2.01
1,2,"0",2.32,24892829,17.7359,11.25,2.80,14.83,2.00
1,3,"0",2.31,24892829,17.7686,11.28,2.72,14.91,2.02
1,4,"0",2.47,24892829,16.6744,11.23,2.85,14.43,2.04
1,5,"0",2.46,24892829,16.7108,11.17,2.72,14.40,2.03
2,1,"0,1",2.78,24892829,14.7824,9.77,4.22,13.88,2.36
2,2,"0,1",2.73,24892829,15.0764,9.83,3.83,14.11,2.37
2,3,"0,1",2.75,24892829,14.9314,9.77,4.09,13.93,2.35
2,4,"0,1",2.78,24892829,14.7741,9.79,4.05,13.77,2.35
2,5,"0,1",2.77,24892829,14.8180,9.85,4.03,13.83,2.36
3,1,"0,1,2",5.44,24892829,7.5548,10.61,4.15,13.98,4.68
3,2,"0,1,2",5.47,24892829,7.5129,10.58,4.18,13.76,4.61
3,3,"0,1,2",5.51,24892829,7.4542,10.56,4.18,13.61,4.59
3,4,"0,1,2",5.50,24892829,7.4713,10.68,4.23,13.54,4.64
3,5,"0,1,2",5.47,24892829,7.5192,10.62,3.88,13.82,4.66
4,1,"0,1,2,3",7.90,24892829,5.2016,10.83,3.88,13.69,6.70
4,2,"0,1,2,3",7.89,24892829,5.2128,10.95,4.39,13.61,6.65
4,3,"0,1,2,3",7.86,24892829,5.2277,10.85,4.25,13.68,6.62
4,4,"0,1,2,3",7.90,24892829,5.2009,10.87,4.18,13.75,6.70
4,5,"0,1,2,3",7.85,24892829,5.2381,10.87,4.12,13.75,6.65
5,1,"0,1,2,3,4",9.93,24892829,4.1413,11.00,3.97,14.07,8.60
5,2,"0,1,2,3,4",9.92,24892829,4.1416,11.02,3.76,14.09,8.64
5,3,"0,1,2,3,4",9.94,24892829,4.1367,11.05,3.87,14.12,8.66
5,4,"0,1,2,3,4",9.97,24892829,4.1236,11.00,3.77,14.03,8.60
5,5,"0,1,2,3,4",9.94,24892829,4.1344,10.99,3.81,13.89,8.49
6,1,"0,1,2,3,4,5",11.64,24892829,3.5309,10.98,3.90,13.90,10.05
6,2,"0,1,2,3,4,5",11.60,24892829,3.5449,11.32,4.18,13.72,9.97
6,3,"0,1,2,3,4,5",11.65,24892829,3.5269,10.97,4.14,13.73,9.93
6,4,"0,1,2,3,4,5",11.54,24892829,3.5605,11.01,3.88,13.89,9.98
6,5,"0,1,2,3,4,5",11.10,24892829,3.7042,10.77,3.94,13.68,9.52
7,1,"0,1,2,3,4,5,6",11.83,24892829,3.4739,10.96,3.68,13.55,10.30
7,2,"0,1,2,3,4,5,6",11.95,24892829,3.4410,11.04,3.72,13.86,10.60
7,3,"0,1,2,3,4,5,6",11.86,24892829,3.4663,11.07,3.61,13.64,10.40
7,4,"0,1,2,3,4,5,6",11.93,24892829,3.4451,10.99,3.67,13.59,10.39
7,5,"0,1,2,3,4,5,6",11.83,24892829,3.4754,11.05,3.94,13.43,10.28
8,1,"0,1,2,3,4,5,6,7",9.74,24892829,4.2190,10.68,3.38,13.25,8.70
8,2,"0,1,2,3,4,5,6,7",9.70,24892829,4.2390,10.70,3.54,13.28,8.75
8,3,"0,1,2,3,4,5,6,7",9.71,24892829,4.2339,10.65,3.39,13.24,8.70
8,4,"0,1,2,3,4,5,6,7",9.73,24892829,4.2243,10.66,3.49,13.18,8.68
8,5,"0,1,2,3,4,5,6,7",9.53,24892829,4.3131,10.73,3.45,13.62,8.84
9,1,"0,1,2,3,4,5,6,7,8",9.74,24892829,4.2181,10.29,3.05,13.35,8.81
9,2,"0,1,2,3,4,5,6,7,8",9.85,24892829,4.1723,10.22,3.59,13.11,8.70
9,3,"0,1,2,3,4,5,6,7,8",9.84,24892829,4.1780,10.22,3.54,13.25,8.80
9,4,"0,1,2,3,4,5,6,7,8",9.73,24892829,4.2259,10.24,3.51,13.27,8.75
9,5,"0,1,2,3,4,5,6,7,8",9.77,24892829,4.2070,10.34,3.55,13.41,8.90
10,1,"0,1,2,3,4,5,6,7,8,9",9.79,24892829,4.1977,9.92,3.34,12.99,8.65
