cores,run,lcores_list,throughput_gbps,ac_matches,duration_sec
1,1,"0",2.40,24892829,17.1552
1,2,"0",2.43,24892829,16.9394
1,3,"0",2.41,24892829,17.0769
1,4,"0",2.44,24892829,16.8364
1,5,"0",2.50,24892829,16.4412
2,1,"0,1",2.85,24892829,14.4134
2,2,"0,1",2.83,24892829,14.5226
2,3,"0,1",2.85,24892829,14.4357
2,4,"0,1",2.86,24892829,14.3846
2,5,"0,1",2.84,24892829,14.4524
3,1,"0,1,2",5.60,24892829,7.3430
3,2,"0,1,2",5.55,24892829,7.4127
3,3,"0,1,2",5.57,24892829,7.3743
3,4,"0,1,2",5.59,24892829,7.3585
3,5,"0,1,2",5.58,24892829,7.3709
4,1,"0,1,2,3",7.93,24892829,5.1807
4,2,"0,1,2,3",7.97,24892829,5.1556
4,3,"0,1,2,3",7.93,24892829,5.1858
4,4,"0,1,2,3",7.95,24892829,5.1702
4,5,"0,1,2,3",7.94,24892829,5.1737
5,1,"0,1,2,3,4",10.00,24892829,4.1096
5,2,"0,1,2,3,4",10.02,24892829,4.1018
5,3,"0,1,2,3,4",10.03,24892829,4.0996
5,4,"0,1,2,3,4",10.01,24892829,4.1070
5,5,"0,1,2,3,4",9.96,24892829,4.1271
6,1,"0,1,2,3,4,5",11.71,24892829,3.5111
6,2,"0,1,2,3,4,5",11.72,24892829,3.5072
6,3,"0,1,2,3,4,5",11.70,24892829,3.5139
6,4,"0,1,2,3,4,5",11.66,24892829,3.5243
6,5,"0,1,2,3,4,5",11.63,24892829,3.5336
7,1,"0,1,2,3,4,5,6",11.51,24892829,3.5712
7,2,"0,1,2,3,4,5,6",11.86,24892829,3.4666
7,3,"0,1,2,3,4,5,6",11.88,24892829,3.4593
7,4,"0,1,2,3,4,5,6",11.84,24892829,3.4727
7,5,"0,1,2,3,4,5,6",11.90,24892829,3.4536
8,1,"0,1,2,3,4,5,6,7",9.77,24892829,4.2061
8,2,"0,1,2,3,4,5,6,7",9.79,24892829,4.1981
8,3,"0,1,2,3,4,5,6,7",9.78,24892829,4.2034
8,4,"0,1,2,3,4,5,6,7",9.66,24892829,4.2554
8,5,"0,1,2,3,4,5,6,7",9.78,24892829,4.2019
9,1,"0,1,2,3,4,5,6,7,8",9.70,24892829,4.2376
9,2,"0,1,2,3,4,5,6,7,8",9.75,24892829,4.2173
9,3,"0,1,2,3,4,5,6,7,8",9.49,24892829,4.3334
9,4,"0,1,2,3,4,5,6,7,8",9.84,24892829,4.1767
9,5,"0,1,2,3,4,5,6,7,8",9.75,24892829,4.2176
10,1,"0,1,2,3,4,5,6,7,8,9",9.77,24892829,4.2093
10,2,"0,1,2,3,4,5,6,7,8,9",9.85,24892829,4.1720
10,3,"0,1,2,3,4,5,6,7,8,9",9.79,24892829,4.1988
10,4,"0,1,2,3,4,5,6,7,8,9",9.78,24892829,4.2035
10,5,"0,1,2,3,4,5,6,7,8,9",9.71,24892829,4.2348
11,1,"0,1,2,3,4,5,6,7,8,9,10",9.81,24892829,4.1920
11,2,"0,1,2,3,4,5,6,7,8,9,10",9.74,24892829,4.2185
11,3,"0,1,2,3,4,5,6,7,8,9,10",9.26,24892829,4.4385
11,4,"0,1,2,3,4,5,6,7,8,9,10",9.76,24892829,4.2116
11,5,"0,1,2,3,4,5,6,7,8,9,10",9.44,24892829,4.3538
12,1,"0,1,2,3,4,5,6,7,8,9,10,11",9.49,24892829,4.3323
12,2,"0,1,2,3,4,5,6,7,8,9,10,11",9.66,24892829,4.2565
12,3,"0,1,2,3,4,5,6,7,8,9,10,11",9.17,24892829,4.4810
12,4,"0,1,2,3,4,5,6,7,8,9,10,11",9.31,24892829,4.4154
12,5,"0,1,2,3,4,5,6,7,8,9,10,11",9.78,24892829,4.2014
